review,sentiment
saw back finally released apparently orion picture bankruptcy think movie released couple year earlier br br problem remembering detail partly seen long time remember dull movie kept debating whether walk store interesting engaging rd rate america graffiti imitation br br none performance make worth watching either one biggest disappointment since local newspaper reviewer gave high rating,0
still believe wes craven responsible piece crap movie worse deadly friend plot stupid acting mediocre film deadly dull know wes craven hate debut last house left absolute masterpiece genre like probably turkey get wrong really like movie real torture sitting watching,0
saying movie extremely hard follow frustrating sit putting mildly also saying current available print dark dreary scratchy abysmally edited painfully dubbed seemingly censored almost unwatchable shape also correct film dire need good remastering full uncut original negative seeing reasonably atmospheric director award catalonia film festival might actually worth trouble maybe impossible tell current condition kind movie actually start fairly interesting discount completely senseless pre credit opening sequence involves deranged cat killing snake loving little girl named gerda girl mom carla mónica randall laid eyeliner little bit splash gasoline around garage torch brat seemingly crazy young gerda go visit estranged photographer ex boyfriend mario john cihangir caffari vacation work desperate get away carla begs employer set assignment assignment scowl sorry head door well mario assigned photograph witch mountain somewhere pyrenees believe get destination get sight hottie beach named delia patty shepard snap picture taking bikini top slightly peeved claim single writer two flirt decide would swell idea went trip mountain together stop place pack bag mario suddenly hears loud sinister music delia claim hearing thing br br two begin trip mountain taking stop local inn spend night encounter weird partially deaf crazy eyed innkeeper victor israel delia claim someone spying window next day trance wanders mountain eventually located mario hop jeep run finding someone steal wheel forced walk piece eventually finding jeep undamaged foot small ancient seeming abandoned village almost like someone trying intentionally lure well see exactly happened village encounter friendly old woman named zanta ana farra claim person still living let stay home mario take picture abandoned city develops eerily full people slightly creeped delia begin leave get stuck treacherous fog pull camp night rest movie voodoo doll black cat transforming sexy woman satanic ritual performed lady bra deadly fall cliff yeah coincidentally carla estranged wife turn one witch take place semi darkness quite honest know hell going time inconclusive open ending additional slap face anyone suffer rest senseless mess br br honestly thing stand really good first actress shepard great barbara steele kind dark mysterious beauty also excellent music score credited fernando garcia morcillo chanting song aided immensely making film atmospheric location work fairly decent said print ugly make lick sense proceed caution one,0
like end day movie like b movie hoping would like movie br br could ignore poor effect often atrocious music cringe inducing line could ignore unexplained event fact movie constantly relies deus ex machina excusable given subject matter could ignore fact people fight hunger try reach world peace bad guy none thing kill movie kill movie plain simple boring nothing actually happens almost scene movie designed push movie creator moral viewer cost actually coherent story kind suspense br br looking entertaining b movie look elsewhere movie boring,0
routine suspense yarn sociopath dillon give sperm clinic human reproduction start harrass life woman antony husband mancuso extremely predictable far fetched undecided tone way lose time one make baby instead,0
lady gentleman show begin documentary film structured three chapter one chronologically arranged first present classical physic link einstein second study depth quantum physic enters string theory last reveals everything theory difficult concept used introduced simple way daily object although must believe without checking scientist even scientist film masterpiece fabulous technique way produced really import story story,1
stopped movie minute change know maybe swedish french cannes commenter sleepy place previous reviewer held forth born raised ny lived near san francisco quarter century holland love good independent film much next movie enthusiast word funny see funny thinking made mistake said word said funny nope mistake type humor say really much life consider appreciation film symptom please ever write another review tendency believe unanimous even review mine figured might actually able save someone else boredom anticipation laughter never materializes smile twice though started movie stopped line,0
suppose like pure action find suppose find gorgeous blonde designed screwed find suppose want find couple extra baddie headed extra extra baddy boss meat nasty end find br br overall routine stuff good guy come top big time extra ordinary circumstance br br marvel good guy armed pistol kill dozen bad guy machine gun shooting point blank range missing goody even get time reload pistol amid hail machine gun bullet br br ho hum,0
astonishing people saw art saw poorly filmed shaky hand held camera generally badly acted unscripted mess seemed like high school film project kid experimenting black white film making injecting mound poetry place story art film make watched theatre people starting fit giggle u included endless stupidity self indulgent meandering mess believe seem endless finished candy popcorn would walked theatre two dozen people packed left looking something interesting,0
sat watching episode kept glancing clock waiting something happen hour wound thought really going give u big pop end nothing whole family huddled around christmas tree like something hallmark channel fade black br br perhaps one poorest season finale ever seen nothing drum excitement next season thing thrown sort incentive watch next season ambiguous nugget offered agent harris pawing sub sandwich guy new york looking get one guy new jersey wow really would never expect something like mobster edge seat br br almost seems like trying get everyone lose interest start plot line end disappearing show ever seen tease hint rarely deliver br br arab hang bing keep throwing front u magically nothing happens br br paulie knee cap kid tony promised mother nothing would happen son poof gone wind br br many meandering drug montage christopher going endure please get arrested overdose something interesting br br one show used looked forward watching forgetta bout,0
